Postal Code,Year,Month,Patient_Count
00000,2022,5,1
00000,2022,8,1
01328,2021,6,1
02649,2023,12,1
03720,2022,4,1
04758,2023,2,1
053100,2024,11,1
06-521,2023,9,1
06811,2018,10,1
09-533,2022,6,1
09618,2021,3,1
10000,2018,11,1
10247,2019,1,1
10367,2023,9,1
107220,2020,3,1
12165,2024,9,1
14532,2023,1,1
14532,2023,3,1
16775,2020,12,1
21-306,2019,5,1
2140,2024,4,1
22-335,2018,5,1
22081,2023,9,1
22769,2018,5,2
23847,2020,8,2
24147,2022,8,1
24534,2022,12,1
26101,2019,4,1
2825,2025,1,1
28277,2024,9,1
28876,2021,7,1
30130,2018,8,1
30627,2022,12,1
31812,2019,5,1
32-742,2023,3,1
32107,2025,2,1
33180,2019,8,1
34454,2022,11,1
34537,2020,1,1
35128,2019,5,1
35305,2019,1,1
35327,2023,1,1
35510,2022,11,1
35759,2023,5,1
36391,2021,4,1
37079,2025,5,1
37318,2022,9,1
38100,2023,8,1
39-107,2019,6,1
40764,2020,4,1
40878,2018,6,2
41-800,2023,1,1
41000,2024,3,1
41468,2022,9,1
41812,2022,10,1
42-624,2022,8,1
44319,2022,5,1
44809,2018,5,1
4486 AA,2021,7,1
46284,2024,11,1
47166,2021,10,1
48324,2022,5,2
49740,2023,11,1
50226,2024,4,1
50259,2020,6,1
51375,2024,12,1
52076,2019,1,1
52146,2018,11,1
53123,2022,6,1
53508,2020,5,1
53518,2023,3,1
53547,2021,8,1
53547,2023,7,1
53809,2022,6,1
53879,2021,5,1
54453,2020,1,1
54516,2018,8,1
54634,2018,5,1
55063,2022,8,1
55116,2018,3,1
55116,2018,6,2
55116,2018,10,1
55116,2018,11,3
55116,2019,1,2
55116,2019,2,2
55116,2019,3,3
55116,2019,4,2
55116,2019,5,1
55116,2019,6,2
55116,2019,8,1
55116,2019,9,2
55116,2019,10,1
55116,2019,11,1
55116,2019,12,1
55116,2020,1,3
55116,2020,2,1
55116,2020,3,3
55116,2020,4,3
55116,2020,5,3
55116,2020,6,3
55116,2020,8,3
55116,2020,9,2
55116,2020,10,1
55116,2020,11,4
55116,2020,12,2
55116,2021,1,1
55116,2021,2,1
55116,2021,3,1
55116,2021,6,1
55116,2021,7,1
55116,2021,8,5
55116,2021,9,1
55116,2021,12,4
55116,2022,1,3
55116,2022,3,3
55116,2022,4,1
55116,2022,5,3
55116,2022,6,4
55116,2022,8,2
55116,2022,9,2
55116,2022,10,2
55116,2022,11,2
55116,2022,12,1
55116,2023,2,4
55116,2023,3,1
55116,2023,5,2
55116,2023,6,1
55116,2023,7,1
55116,2023,9,2
55116,2023,10,2
55116,2023,11,2
55116,2023,12,1
55116,2024,1,1
55116,2024,7,1
55116,2024,8,1
55116,2024,9,1
55116,2025,1,2
55116,2025,3,1
55116,2025,5,2
55118,2018,1,1
55118,2018,3,1
55118,2018,4,3
55118,2018,5,1
55118,2018,6,1
55118,2018,7,1
55118,2018,8,2
55118,2018,9,2
55118,2018,10,3
55118,2018,11,2
55118,2018,12,4
55118,2019,1,3
55118,2019,3,1
55118,2019,4,1
55118,2019,5,2
55118,2019,6,2
55118,2019,8,3
55118,2019,9,1
55118,2019,10,1
55118,2019,11,1
55118,2019,12,2
55118,2020,1,1
55118,2020,2,1
55118,2020,3,2
55118,2020,6,1
55118,2020,7,2
55118,2020,8,1
55118,2020,9,3
55118,2020,10,1
55118,2020,11,1
55118,2020,12,1
55118,2021,1,2
55118,2021,2,5
55118,2021,3,1
55118,2021,5,2
55118,2021,6,3
55118,2021,7,3
55118,2021,9,2
55118,2021,10,2
55118,2021,11,2
55118,2021,12,1
55118,2022,1,2
55118,2022,2,3
55118,2022,3,2
55118,2022,4,1
55118,2022,5,4
55118,2022,6,1
55118,2022,8,2
55118,2022,9,2
55118,2022,10,1
55118,2022,11,1
55118,2023,1,4
55118,2023,2,1
55118,2023,3,3
55118,2023,4,1
55118,2023,5,2
55118,2023,6,2
55118,2023,7,3
55118,2023,8,3
55118,2023,9,2
55118,2023,10,5
55118,2023,11,2
55118,2023,12,3
55118,2024,1,1
55118,2024,2,1
55118,2024,4,2
55118,2024,7,1
55118,2024,8,2
55118,2024,9,3
55118,2024,12,1
55118,2025,2,1
55118,2025,3,2
55118,2025,4,1
55120,2018,1,2
55120,2018,7,1
55120,2018,8,1
55120,2018,10,3
55120,2018,11,1
55120,2019,1,2
55120,2019,3,1
55120,2019,5,1
55120,2019,6,1
55120,2019,7,1
55120,2019,8,1
55120,2019,9,1
55120,2019,10,1
55120,2019,11,1
55120,2019,12,1
55120,2020,1,2
55120,2020,2,2
55120,2020,3,2
55120,2020,4,3
55120,2020,5,2
55120,2020,6,4
55120,2020,7,3
55120,2020,8,1
55120,2020,11,2
55120,2021,1,2
55120,2021,2,1
55120,2021,3,1
55120,2021,4,2
55120,2021,5,2
55120,2021,6,1
55120,2021,7,2
55120,2021,8,1
55120,2021,11,1
55120,2022,2,1
55120,2022,4,3
55120,2022,5,2
55120,2022,6,1
55120,2022,7,3
55120,2022,8,2
55120,2022,12,5
55120,2023,1,3
55120,2023,2,1
55120,2023,5,3
55120,2023,6,1
55120,2023,7,1
55120,2023,8,2
55120,2023,9,1
55120,2023,10,1
55120,2023,12,2
55120,2024,1,2
55120,2024,3,1
55120,2024,5,1
55120,2024,6,1
55120,2025,2,2
55120,2025,5,1
55122,2018,1,2
55122,2018,2,2
55122,2018,3,2
55122,2018,4,3
55122,2018,6,4
55122,2018,7,1
55122,2018,8,2
55122,2018,10,2
55122,2018,11,2
55122,2018,12,4
55122,2019,1,2
55122,2019,2,2
55122,2019,3,3
55122,2019,4,1
55122,2019,5,1
55122,2019,6,1
55122,2019,7,6
55122,2019,8,1
55122,2019,10,1
55122,2019,12,2
55122,2020,1,1
55122,2020,2,1
55122,2020,3,1
55122,2020,4,3
55122,2020,5,2
55122,2020,6,1
55122,2020,7,3
55122,2020,8,2
55122,2020,10,1
55122,2020,12,1
55122,2021,1,3
55122,2021,2,1
55122,2021,3,4
55122,2021,4,2
55122,2021,5,1
55122,2021,6,3
55122,2021,7,3
55122,2021,8,3
55122,2021,9,8
55122,2021,10,4
55122,2021,11,4
55122,2021,12,4
55122,2022,1,3
55122,2022,2,3
55122,2022,3,2
55122,2022,4,1
55122,2022,5,1
55122,2022,6,2
55122,2022,7,3
55122,2022,8,3
55122,2022,9,3
55122,2022,10,4
55122,2022,12,3
55122,2023,1,1
55122,2023,2,4
55122,2023,4,3
55122,2023,5,5
55122,2023,6,2
55122,2023,7,1
55122,2023,8,3
55122,2023,9,2
55122,2023,10,4
55122,2023,11,2
55122,2023,12,2
55122,2024,1,1
55122,2024,2,2
55122,2024,5,2
55122,2024,7,1
55122,2024,9,1
55122,2025,1,1
55122,2025,3,1
55122,2025,4,1
55122,2025,5,4
55124,2018,4,1
55124,2018,5,1
55124,2018,9,1
55124,2018,11,2
55124,2019,1,1
55124,2019,2,1
55124,2019,3,1
55124,2019,5,2
55124,2019,6,2
55124,2019,7,4
55124,2019,10,3
55124,2019,12,1
55124,2020,3,2
55124,2020,4,2
55124,2020,5,1
55124,2020,6,3
55124,2020,7,3
55124,2020,9,2
55124,2020,10,2
55124,2021,2,2
55124,2021,3,1
55124,2021,5,1
55124,2021,8,3
55124,2021,9,1
55124,2021,10,1
55124,2021,12,1
55124,2022,1,1
55124,2022,2,1
55124,2022,3,4
55124,2022,6,1
55124,2022,7,1
55124,2022,9,4
55124,2022,10,1
55124,2022,12,1
55124,2023,1,4
55124,2023,2,2
55124,2023,6,2
55124,2023,7,3
55124,2023,8,2
55124,2023,9,3
55124,2023,10,3
55124,2024,1,1
55124,2024,5,1
55124,2024,9,1
55124,2024,11,1
55124,2025,1,1
55124,2025,5,4
55126,2018,2,1
55126,2018,3,1
55126,2018,4,1
55126,2018,5,2
55126,2018,6,1
55126,2018,8,3
55126,2018,9,1
55126,2018,11,2
55126,2019,1,1
55126,2019,2,1
55126,2019,4,1
55126,2019,5,1
55126,2019,7,1
55126,2019,10,1
55126,2019,11,1
55126,2019,12,2
55126,2020,1,3
55126,2020,2,2
55126,2020,3,3
55126,2020,5,1
55126,2020,6,1
55126,2020,7,2
55126,2020,9,1
55126,2020,10,1
55126,2020,11,2
55126,2020,12,2
55126,2021,1,1
55126,2021,2,3
55126,2021,3,1
55126,2021,4,1
55126,2021,5,1
55126,2021,6,3
55126,2021,7,2
55126,2021,8,3
55126,2021,9,1
55126,2021,10,4
55126,2021,11,2
55126,2021,12,2
55126,2022,2,3
55126,2022,3,2
55126,2022,4,1
55126,2022,5,1
55126,2022,6,2
55126,2022,7,1
55126,2022,10,2
55126,2022,11,2
55126,2022,12,5
55126,2023,1,7
55126,2023,3,2
55126,2023,5,2
55126,2023,7,1
55126,2023,8,1
55126,2023,9,3
55126,2023,11,2
55126,2023,12,2
55126,2024,1,2
55126,2024,2,2
55126,2024,5,1
55126,2024,6,1
55126,2024,7,1
55126,2024,8,1
55126,2024,9,2
55126,2024,12,1
55126,2025,1,1
55126,2025,2,1
55126,2025,4,2
55127,2018,1,1
55127,2018,2,1
55127,2018,6,2
55127,2018,10,2
55127,2018,11,3
55127,2018,12,1
55127,2019,1,1
55127,2019,2,1
55127,2019,3,1
55127,2019,7,1
55127,2019,10,3
55127,2019,11,2
55127,2019,12,2
55127,2020,1,4
55127,2020,2,3
55127,2020,3,2
55127,2020,4,1
55127,2020,5,1
55127,2020,6,2
55127,2020,7,1
55127,2020,8,2
55127,2020,9,2
55127,2020,10,1
55127,2020,11,2
55127,2020,12,3
55127,2021,2,1
55127,2021,3,3
55127,2021,4,3
55127,2021,5,3
55127,2021,6,1
55127,2021,7,2
55127,2021,8,4
55127,2021,10,2
55127,2021,11,1
55127,2022,1,3
55127,2022,3,1
55127,2022,4,1
55127,2022,5,1
55127,2022,7,2
55127,2022,8,1
55127,2022,11,1
55127,2023,1,2
55127,2023,4,1
55127,2023,5,3
55127,2023,7,2
55127,2023,8,2
55127,2023,10,1
55127,2023,11,3
55127,2023,12,1
55127,2024,1,1
55127,2024,2,1
55127,2024,3,2
55127,2024,4,2
55127,2024,6,2
55127,2024,9,2
55127,2024,11,1
55127,2024,12,1
55127,2025,3,1
55127,2025,4,1
55128,2018,1,1
55128,2018,2,1
55128,2018,4,3
55128,2018,5,4
55128,2018,6,3
55128,2018,8,1
55128,2018,9,1
55128,2018,10,1
55128,2018,11,1
55128,2018,12,3
55128,2019,2,1
55128,2019,3,2
55128,2019,5,2
55128,2019,6,1
55128,2019,7,3
55128,2019,9,2
55128,2019,10,2
55128,2019,11,1
55128,2020,1,4
55128,2020,2,1
55128,2020,3,3
55128,2020,5,1
55128,2020,6,2
55128,2020,7,1
55128,2020,8,2
55128,2020,9,3
55128,2020,11,3
55128,2020,12,3
55128,2021,1,1
55128,2021,2,7
55128,2021,3,3
55128,2021,4,1
55128,2021,5,1
55128,2021,6,4
55128,2021,7,2
55128,2021,9,4
55128,2021,10,2
55128,2021,11,2
55128,2021,12,5
55128,2022,1,2
55128,2022,2,2
55128,2022,3,4
55128,2022,4,4
55128,2022,5,1
55128,2022,6,1
55128,2022,7,1
55128,2022,8,2
55128,2022,10,1
55128,2022,11,1
55128,2022,12,1
55128,2023,2,2
55128,2023,3,3
55128,2023,4,1
55128,2023,5,2
55128,2023,6,2
55128,2023,7,1
55128,2023,8,1
55128,2023,9,1
55128,2023,10,1
55128,2023,11,2
55128,2023,12,2
55128,2024,3,1
55128,2024,4,1
55128,2024,5,1
55128,2024,9,2
55128,2024,10,1
55128,2024,11,3
55128,2024,12,1
55128,2025,1,1
55128,2025,2,1
55128,2025,3,1
55129,2018,2,2
55129,2018,5,2
55129,2018,6,2
55129,2018,7,2
55129,2018,8,1
55129,2018,10,3
55129,2018,12,3
55129,2019,1,1
55129,2019,2,3
55129,2019,3,3
55129,2019,4,3
55129,2019,7,3
55129,2019,9,3
55129,2019,10,2
55129,2019,12,3
55129,2020,1,3
55129,2020,2,2
55129,2020,4,1
55129,2020,5,1
55129,2020,6,3
55129,2020,7,2
55129,2020,8,1
55129,2020,9,1
55129,2020,10,1
55129,2020,11,1
55129,2021,1,3
55129,2021,2,4
55129,2021,4,2
55129,2021,5,2
55129,2021,6,1
55129,2021,9,1
55129,2021,10,2
55129,2021,11,2
55129,2021,12,1
55129,2022,2,5
55129,2022,4,3
55129,2022,5,3
55129,2022,6,2
55129,2022,7,2
55129,2022,9,1
55129,2022,10,3
55129,2022,12,2
55129,2023,1,1
55129,2023,2,4
55129,2023,3,3
55129,2023,4,4
55129,2023,5,1
55129,2023,6,1
55129,2023,7,1
55129,2023,9,1
55129,2023,11,1
55129,2023,12,1
55129,2024,1,1
55129,2024,5,1
55129,2024,6,1
55129,2024,7,1
55129,2024,8,1
55129,2024,10,2
